"http://digi.kansalliskirjasto.fi/sanomalehti/binding/451756/articles/161861/images/179617?scale=1.0","http://digi.kansalliskirjasto.fi/sanomalehti/binding/451756/articles/161861","Luonnonilmi&ouml; n&auml;hty Mikkeliss&auml;","http://digi.kansalliskirjasto.fi/sanomalehti/articles#?subjectIds=10","Savonlinna","20","1877-05-19","http://digi.kansalliskirjasto.fi/sanomalehti/binding/451756#?page=1",1
"http://digi.kansalliskirjasto.fi/sanomalehti/binding/451717/articles/121518/images/135809?scale=1.0","http://digi.kansalliskirjasto.fi/sanomalehti/binding/451717/articles/121518","Ruotsinkieli Mikkelin kaupungin kansakoulussa","http://digi.kansalliskirjasto.fi/sanomalehti/articles#?subjectIds=3","Savonlinna","34","1876-11-25","http://digi.kansalliskirjasto.fi/sanomalehti/binding/451717#?page=1",1
"http://digi.kansalliskirjasto.fi/sanomalehti/binding/451717/articles/121518/images/135808?scale=1.0","http://digi.kansalliskirjasto.fi/sanomalehti/binding/451717/articles/121518","Ruotsinkieli Mikkelin kaupungin kansakoulussa","http://digi.kansalliskirjasto.fi/sanomalehti/articles#?subjectIds=3","Savonlinna","34","1876-11-25","http://digi.kansalliskirjasto.fi/sanomalehti/binding/451717#?page=1",1
"http://digi.kansalliskirjasto.fi/sanomalehti/binding/449750/articles/130525/images/147263?scale=1.0","http://digi.kansalliskirjasto.fi/sanomalehti/binding/449750/articles/130525","Rautatiet&auml; Kuopiosta-Mikkeliin ja p&auml;in wastoin","http://digi.kansalliskirjasto.fi/sanomalehti/articles#?subjectIds=5","Savo","125","1888-10-23","http://digi.kansalliskirjasto.fi/sanomalehti/binding/449750#?page=3",3
"http://digi.kansalliskirjasto.fi/sanomalehti/binding/449750/articles/130525/images/147254?scale=1.0","http://digi.kansalliskirjasto.fi/sanomalehti/binding/449750/articles/130525","Rautatiet&auml; Kuopiosta-Mikkeliin ja p&auml;in wastoin","http://digi.kansalliskirjasto.fi/sanomalehti/articles#?subjectIds=5","Savo","125","1888-10-23","http://digi.kansalliskirjasto.fi/sanomalehti/binding/449750#?page=2",2
"http://digi.kansalliskirjasto.fi/sanomalehti/binding/448000/articles/121519/images/135810?scale=1.0","http://digi.kansalliskirjasto.fi/sanomalehti/binding/448000/articles/121519","Mikkelin lyseo ja S:t Michels Weckoblad","http://digi.kansalliskirjasto.fi/sanomalehti/articles#?subjectIds=3","Karjalatar","11","1877-03-16","http://digi.kansalliskirjasto.fi/sanomalehti/binding/448000#?page=2",2
"http://digi.kansalliskirjasto.fi/sanomalehti/binding/442289/articles/121316/images/134755?scale=1.0","http://digi.kansalliskirjasto.fi/sanomalehti/binding/442289/articles/121316","Mikkelist&auml; 16.6.1864","http://digi.kansalliskirjasto.fi/sanomalehti/articles#?subjectIds=2","Mikkelin Wiikko-Sanomia","24","1864-06-16","http://digi.kansalliskirjasto.fi/sanomalehti/binding/442289#?page=1",1
"http://digi.kansalliskirjasto.fi/sanomalehti/binding/442248/articles/161950/images/179801?scale=1.0","http://digi.kansalliskirjasto.fi/sanomalehti/binding/442248/articles/161950","Postin kuletuksesta Mikkelist&auml; Jorosin kautta Sawolinnaan","http://digi.kansalliskirjasto.fi/sanomalehti/articles#?subjectIds=12","Mikkelin Wiikko-Sanomia","32","1863-08-06","http://digi.kansalliskirjasto.fi/sanomalehti/binding/442248#?page=3",3
"http://digi.kansalliskirjasto.fi/sanomalehti/binding/442248/articles/161950/images/179800?scale=1.0","http://digi.kansalliskirjasto.fi/sanomalehti/binding/442248/articles/161950","Postin kuletuksesta Mikkelist&auml; Jorosin kautta Sawolinnaan","http://digi.kansalliskirjasto.fi/sanomalehti/articles#?subjectIds=12","Mikkelin Wiikko-Sanomia","32","1863-08-06","http://digi.kansalliskirjasto.fi/sanomalehti/binding/442248#?page=3",3
"http://digi.kansalliskirjasto.fi/sanomalehti/binding/441352/articles/172782/images/191810?scale=1.0","http://digi.kansalliskirjasto.fi/sanomalehti/binding/441352/articles/172782","Mikkelist&auml;","http://digi.kansalliskirjasto.fi/sanomalehti/articles#?subjectIds=7","Tapio","36","1863-09-05","http://digi.kansalliskirjasto.fi/sanomalehti/binding/441352#?page=2",2
"http://digi.kansalliskirjasto.fi/sanomalehti/binding/427912/articles/130526/images/147265?scale=1.0","http://digi.kansalliskirjasto.fi/sanomalehti/binding/427912/articles/130526","Mikkelin lyseon asia","http://digi.kansalliskirjasto.fi/sanomalehti/articles#?subjectIds=3","Uusi Suometar","112","1879-09-19","http://digi.kansalliskirjasto.fi/sanomalehti/binding/427912#?page=2",2
"http://digi.kansalliskirjasto.fi/sanomalehti/binding/427912/articles/130526/images/147264?scale=1.0","http://digi.kansalliskirjasto.fi/sanomalehti/binding/427912/articles/130526","Mikkelin lyseon asia","http://digi.kansalliskirjasto.fi/sanomalehti/articles#?subjectIds=3","Uusi Suometar","112","1879-09-19","http://digi.kansalliskirjasto.fi/sanomalehti/binding/427912#?page=1",1
"http://digi.kansalliskirjasto.fi/sanomalehti/binding/426592/articles/161935/images/179696?scale=1.0","http://digi.kansalliskirjasto.fi/sanomalehti/binding/426592/articles/161935","Luonnonilmi&ouml; (Mikkelist&auml;)","http://digi.kansalliskirjasto.fi/sanomalehti/articles#?subjectIds=10","Uusi Suometar","72","1877-06-15","http://digi.kansalliskirjasto.fi/sanomalehti/binding/426592#?page=3",3
"http://digi.kansalliskirjasto.fi/sanomalehti/binding/426262/articles/121513/images/135802?scale=1.0","http://digi.kansalliskirjasto.fi/sanomalehti/binding/426262/articles/121513","Mikkelin uutisia - lyseo","http://digi.kansalliskirjasto.fi/sanomalehti/articles#?subjectIds=3","Uusi Suometar","96","1872-08-16","http://digi.kansalliskirjasto.fi/sanomalehti/binding/426262#?page=3",3
"http://digi.kansalliskirjasto.fi/sanomalehti/binding/425066/articles/151591/images/172110?scale=1.0","http://digi.kansalliskirjasto.fi/sanomalehti/binding/425066/articles/151591","Tietoja Mikkelin Pit&auml;j&auml;&auml;st&auml; II","http://digi.kansalliskirjasto.fi/sanomalehti/articles#?subjectIds=3","Suometar","7","1854-02-17","http://digi.kansalliskirjasto.fi/sanomalehti/binding/425066#?page=2",2
"http://digi.kansalliskirjasto.fi/sanomalehti/binding/425066/articles/151591/images/172109?scale=1.0","http://digi.kansalliskirjasto.fi/sanomalehti/binding/425066/articles/151591","Tietoja Mikkelin Pit&auml;j&auml;&auml;st&auml; II","http://digi.kansalliskirjasto.fi/sanomalehti/articles#?subjectIds=3","Suometar","7","1854-02-17","http://digi.kansalliskirjasto.fi/sanomalehti/binding/425066#?page=2",2
"http://digi.kansalliskirjasto.fi/sanomalehti/binding/425066/articles/151591/images/172108?scale=1.0","http://digi.kansalliskirjasto.fi/sanomalehti/binding/425066/articles/151591","Tietoja Mikkelin Pit&auml;j&auml;&auml;st&auml; II","http://digi.kansalliskirjasto.fi/sanomalehti/articles#?subjectIds=3","Suometar","7","1854-02-17","http://digi.kansalliskirjasto.fi/sanomalehti/binding/425066#?page=2",2
"http://digi.kansalliskirjasto.fi/sanomalehti/binding/425066/articles/151591/images/172107?scale=1.0","http://digi.kansalliskirjasto.fi/sanomalehti/binding/425066/articles/151591","Tietoja Mikkelin Pit&auml;j&auml;&auml;st&auml; II","http://digi.kansalliskirjasto.fi/sanomalehti/articles#?subjectIds=3","Suometar","7","1854-02-17","http://digi.kansalliskirjasto.fi/sanomalehti/binding/425066#?page=1",1
"http://digi.kansalliskirjasto.fi/sanomalehti/binding/425066/articles/151591/images/172106?scale=1.0","http://digi.kansalliskirjasto.fi/sanomalehti/binding/425066/articles/151591","Tietoja Mikkelin Pit&auml;j&auml;&auml;st&auml; II","http://digi.kansalliskirjasto.fi/sanomalehti/articles#?subjectIds=3","Suometar","7","1854-02-17","http://digi.kansalliskirjasto.fi/sanomalehti/binding/425066#?page=1",1
"http://digi.kansalliskirjasto.fi/sanomalehti/binding/424125/articles/557026/images/5246149?scale=1.0","http://digi.kansalliskirjasto.fi/sanomalehti/binding/424125/articles/557026","Mikkelist&auml; 3.11.1852","http://digi.kansalliskirjasto.fi/sanomalehti/articles#?subjectIds=11","Suometar","46","1852-11-16","http://digi.kansalliskirjasto.fi/sanomalehti/binding/424125#?page=4",4
"http://digi.kansalliskirjasto.fi/sanomalehti/binding/424125/articles/557026/images/5246148?scale=1.0","http://digi.kansalliskirjasto.fi/sanomalehti/binding/424125/articles/557026","Mikkelist&auml; 3.11.1852","http://digi.kansalliskirjasto.fi/sanomalehti/articles#?subjectIds=11","Suometar","46","1852-11-16","http://digi.kansalliskirjasto.fi/sanomalehti/binding/424125#?page=3",3
"http://digi.kansalliskirjasto.fi/sanomalehti/binding/416799/articles/121514/images/135803?scale=1.0","http://digi.kansalliskirjasto.fi/sanomalehti/binding/416799/articles/121514","Mikkelin lyseo ja kansakoulu avattiin 2.9.1872","http://digi.kansalliskirjasto.fi/sanomalehti/articles#?subjectIds=3","Suomalainen Wirallinen Lehti","113","1872-09-21","http://digi.kansalliskirjasto.fi/sanomalehti/binding/416799#?page=2",2
"http://digi.kansalliskirjasto.fi/sanomalehti/binding/140051/articles/1529605/images/11633386?scale=1.0","http://digi.kansalliskirjasto.fi/sanomalehti/binding/140051/articles/1529605","Kestikievarit Mikkelin kihlakunnassa","http://digi.kansalliskirjasto.fi/sanomalehti/articles#?subjectIds=1","Mikkelin Sanomat","27","1890-04-02","http://digi.kansalliskirjasto.fi/sanomalehti/binding/140051#?page=2",2
"http://digi.kansalliskirjasto.fi/sanomalehti/binding/140051/articles/1529605/images/11633385?scale=1.0","http://digi.kansalliskirjasto.fi/sanomalehti/binding/140051/articles/1529605","Kestikievarit Mikkelin kihlakunnassa","http://digi.kansalliskirjasto.fi/sanomalehti/articles#?subjectIds=1","Mikkelin Sanomat","27","1890-04-02","http://digi.kansalliskirjasto.fi/sanomalehti/binding/140051#?page=2",2
"http://digi.kansalliskirjasto.fi/sanomalehti/binding/59242/articles/109118/images/119261?scale=1.0","http://digi.kansalliskirjasto.fi/sanomalehti/binding/59242/articles/109118","Mikkeli-Lappeenranta aikataulut","http://digi.kansalliskirjasto.fi/sanomalehti/articles#?subjectIds=5","Mikkelin Sanomat","58","1889-07-20","http://digi.kansalliskirjasto.fi/sanomalehti/binding/59242#?page=4",4
"http://digi.kansalliskirjasto.fi/sanomalehti/binding/46562/articles/93054/images/102057?scale=1.0","http://digi.kansalliskirjasto.fi/sanomalehti/binding/46562/articles/93054","Mikkeli.","http://digi.kansalliskirjasto.fi/sanomalehti/articles#?subjectIds=12","Mikkelin Sanomat","14","1886-04-08","http://digi.kansalliskirjasto.fi/sanomalehti/binding/46562#?page=1",1
"http://digi.kansalliskirjasto.fi/sanomalehti/binding/46562/articles/93054/images/102056?scale=1.0","http://digi.kansalliskirjasto.fi/sanomalehti/binding/46562/articles/93054","Mikkeli.","http://digi.kansalliskirjasto.fi/sanomalehti/articles#?subjectIds=12","Mikkelin Sanomat","14","1886-04-08","http://digi.kansalliskirjasto.fi/sanomalehti/binding/46562#?page=1",1
"http://digi.kansalliskirjasto.fi/sanomalehti/binding/46562/articles/93054/images/102055?scale=1.0","http://digi.kansalliskirjasto.fi/sanomalehti/binding/46562/articles/93054","Mikkeli.","http://digi.kansalliskirjasto.fi/sanomalehti/articles#?subjectIds=12","Mikkelin Sanomat","14","1886-04-08","http://digi.kansalliskirjasto.fi/sanomalehti/binding/46562#?page=1",1
"http://digi.kansalliskirjasto.fi/sanomalehti/binding/19154/articles/139604/images/157108?scale=1.0","http://digi.kansalliskirjasto.fi/sanomalehti/binding/19154/articles/139604","Mikkelin l&auml;&auml;nin kuwern&ouml;&ouml;ri ilmoittaa 15.8.1885","http://digi.kansalliskirjasto.fi/sanomalehti/articles#?subjectIds=12","Mikkelin Sanomat","35","1885-09-10","http://digi.kansalliskirjasto.fi/sanomalehti/binding/19154#?page=2",2
"http://digi.kansalliskirjasto.fi/sanomalehti/binding/19154/articles/139604/images/157107?scale=1.0","http://digi.kansalliskirjasto.fi/sanomalehti/binding/19154/articles/139604","Mikkelin l&auml;&auml;nin kuwern&ouml;&ouml;ri ilmoittaa 15.8.1885","http://digi.kansalliskirjasto.fi/sanomalehti/articles#?subjectIds=12","Mikkelin Sanomat","35","1885-09-10","http://digi.kansalliskirjasto.fi/sanomalehti/binding/19154#?page=2",2
